/*********************************************
 * OPL 12.8.0.0 Data
 * Author: Tamer Abdelmaguid
 * Input data from a specially developed application
 * for the DMOSP problem.
 * Problem name: C:\Work\MOSP\Program\MOSPInstances\MOSP-6-36-2-3-2-1.mosp.dat
 *********************************************/

 nj = 36;
 nm = 30;
 no = 184;


 // Machines data:
	MW = [ 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6];

 // Operations data:
	OJ = [ 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 13, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 18, 18, 18, 18, 18, 18, 19, 19, 19, 19, 19, 19, 20, 20, 20, 20, 21, 21, 21, 21, 21, 21, 22, 22, 22, 22, 22, 23, 23, 23, 23, 23, 24, 24, 24, 24, 24, 24, 25, 25, 25, 25, 25, 25, 26, 26, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 28, 28, 29, 29, 29, 29, 29, 30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 31, 32, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36];
	OW = [ 1, 2, 3, 5, 6, 1, 3, 4, 5, 6, 1, 2, 3, 5, 1, 3, 4, 5, 1, 4, 6, 1, 2, 3, 4, 5, 6, 1, 2, 4, 5, 6, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 6, 1, 2, 3, 4, 6, 1, 3, 4, 5, 2, 3, 4, 5, 6, 2, 3, 4, 6, 1, 2, 3, 4, 5, 6, 1, 2, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 5, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 1, 2, 3, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 3, 4, 5, 2, 3, 4, 5, 6, 1, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 2, 3, 4, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 5, 6, 1, 2, 3, 4, 5];

 // Ordered processing times:
	d = [
		316.00, 209.00, 252.00, 229.00, 312.00, 249.00,
		234.00, 231.00, 296.00, 212.00, 191.00,
		78.00, 84.00, 80.00, 85.00,
		136.00, 159.00, 142.00, 196.00, 174.00, 155.00,
		94.00, 84.00, 98.00, 76.00,
		218.00, 279.00, 333.00, 300.00, 205.00, 219.00,
		118.00, 123.00, 90.00, 117.00,
		169.00, 158.00, 184.00, 130.00, 127.00,
		173.00, 144.00, 214.00, 219.00, 200.00, 179.00,
		81.00, 93.00, 70.00, 85.00,
		266.00, 322.00, 214.00, 298.00, 286.00, 279.00,
		273.00, 247.00, 312.00, 223.00, 261.00,
		123.00, 114.00, 100.00, 99.00,
		142.00, 147.00, 149.00, 149.00, 194.00, 144.00,
		248.00, 274.00, 279.00, 244.00, 234.00, 277.00,
		108.00, 104.00, 107.00, 88.00,
		122.00, 126.00, 150.00, 200.00, 181.00,
		141.00, 171.00, 164.00, 212.00, 178.00, 199.00,
		237.00, 250.00, 330.00, 290.00, 245.00, 324.00,
		151.00, 142.00, 163.00, 162.00, 123.00,
		79.00, 88.00, 64.00, 70.00,
		264.00, 221.00, 271.00, 321.00, 307.00, 301.00,
		218.00, 275.00, 225.00, 218.00, 235.00,
		114.00, 83.00, 103.00, 104.00,
		135.00, 150.00, 200.00, 132.00, 147.00,
		194.00, 188.00, 184.00, 187.00, 148.00, 206.00,
		76.00, 97.00, 62.00, 101.00,
		316.00, 273.00, 300.00, 264.00, 261.00, 292.00,
		305.00, 259.00, 237.00, 281.00, 289.00,
		132.00, 163.00, 129.00, 193.00, 198.00,
		189.00, 211.00, 205.00, 187.00, 214.00, 200.00,
		95.00, 94.00, 90.00, 98.00,
		315.00, 323.00, 314.00, 266.00, 247.00, 236.00,
		195.00, 244.00, 234.00, 302.00, 316.00,
		114.00, 103.00, 119.00, 113.00,
		126.00, 140.00, 144.00, 167.00, 196.00,
		216.00, 187.00, 190.00, 153.00, 215.00, 196.00,
		244.00, 264.00, 232.00, 322.00, 262.00, 302.00,
		314.00, 212.00, 238.00, 258.00, 268.00,
		75.00, 122.00, 98.00, 78.00,
		137.00, 164.00, 141.00, 136.00, 161.00,
		169.00, 158.00, 176.00, 208.00, 203.00, 183.00,
		68.00, 82.00, 80.00, 65.00,
		281.00, 334.00, 245.00, 248.00, 312.00, 210.00,
		299.00, 277.00, 199.00, 242.00, 316.00,
		121.00, 96.00, 118.00, 91.00,
		189.00, 143.00, 178.00, 155.00, 148.00,
		221.00, 138.00, 214.00, 141.00, 203.00, 187.00,
		67.00, 73.00, 78.00, 88.00,
		334.00, 284.00, 255.00, 318.00, 297.00, 306.00,
		262.00, 195.00, 251.00, 231.00, 263.00,
		90.00, 97.00, 110.00, 100.00,
		155.00, 176.00, 194.00, 174.00, 163.00,
